title,company,location,posted_date,apply_url,source,category,application_status,notes,date_applied,scraped_at
Software Engineer II (.Net Full-Stack) - (For DATAVANCED BD LTD.)-Job ID: 1488681,Bdjobs.com,"Mirpur, Dhaka, Bangladesh",2026-05-17,https://bd.linkedin.com/jobs/view/software-engineer-ii-net-full-stack-for-datavanced-bd-ltd-job-id-1488681-at-bdjobs-com-4412224215,linkedin.com,software engineer,Not Applied,,,2026-05-19
Jr. Java Developer (For ORBUND)-Job ID: 1485164,Bdjobs.com,"Mohammadpur Thana, Dhaka, Bangladesh",2026-05-06,https://bd.linkedin.com/jobs/view/jr-java-developer-for-orbund-job-id-1485164-at-bdjobs-com-4408485786,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer- For Skylark Soft Limited- Job ID: 1480154,Bdjobs.com,"Dhaka, Bangladesh",2026-04-22,https://bd.linkedin.com/jobs/view/software-engineer-for-skylark-soft-limited-job-id-1480154-at-bdjobs-com-4402447370,linkedin.com,software engineer,Not Applied,,,2026-05-19
Staff Software Engineer,CDR External Development,"Dhaka, Dhaka, Bangladesh",2026-03-25,https://bd.linkedin.com/jobs/view/staff-software-engineer-at-cdr-external-development-4389822829,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer (For Marco Elite Ltd)-Job ID: 1486335,Bdjobs.com,"Dhaka, Bangladesh",2026-05-11,https://bd.linkedin.com/jobs/view/software-engineer-for-marco-elite-ltd-job-id-1486335-at-bdjobs-com-4412651492,linkedin.com,software engineer,Not Applied,,,2026-05-19
Trainee Software Engineer - (For Data Edge Limited) - Job ID - 1483986,Bdjobs.com,"Dhaka, Bangladesh",2026-05-05,https://bd.linkedin.com/jobs/view/trainee-software-engineer-for-data-edge-limited-job-id-1483986-at-bdjobs-com-4410299818,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer (ERP) - For Team Group - Job ID : 1483527,Bdjobs.com,"Dhaka, Bangladesh",2026-05-03,https://bd.linkedin.com/jobs/view/software-engineer-erp-for-team-group-job-id-1483527-at-bdjobs-com-4407702804,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer (.NET Core + React/Angular) - For Solyntra Limited - Job ID: 1485714,Bdjobs.com,"Dhaka, Bangladesh",2026-05-09,https://bd.linkedin.com/jobs/view/software-engineer-net-core-%2B-react-angular-for-solyntra-limited-job-id-1485714-at-bdjobs-com-4411948487,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Engineer (.Net),Optimizely,"Dhaka, Dhaka, Bangladesh",2026-04-28,https://bd.linkedin.com/jobs/view/senior-software-engineer-net-at-optimizely-4407859705,linkedin.com,software engineer,Not Applied,,,2026-05-19
"Team Lead Back End Engineer (.NET), ERP Expert",AKIJ iBOS,"Dhaka, Bangladesh",2026-04-30,https://bd.linkedin.com/jobs/view/team-lead-back-end-engineer-net-erp-expert-at-akij-ibos-4408744358,linkedin.com,software engineer,Not Applied,,,2026-05-19
